HolidayCountry,Date,HolidayName,UserDefinedColumn1
Switzerland,1/1/2018,NEW YEAR’S DAY,
Switzerland,1/2/2018,DAY AFTER NEW YEAR’S DAY,
Switzerland,3/30/2018,GOOD FRIDAY,
Switzerland,4/2/2018,EASTER MONDAY,
Switzerland,5/10/2018,ASCENSION DAY,
Switzerland,5/11/2018,Bridge Day,
Switzerland,4/28/1976,WHIT MONDAY,
Switzerland,4/28/1986,CORPUS CHRISTI,
Switzerland,8/1/2018,SWISS NATIONAL DAY,
Switzerland,8/15/2018,ASSUMPTION,
Switzerland,11/1/2018,ALL SAINTS,
Switzerland,12/8/2018,IMMACULATE CONCEPTION,
Switzerland,12/24/2018,CHRISTMAS EVE,
Switzerland,12/25/2018,CHRISTMAS DAY,
Switzerland,12/26/2018,BOXING DAY,
Switzerland,12/27/2018,Company Closure,
Switzerland,12/28/2018,Company Closure,
Switzerland,12/29/2018,Company Closure,
Switzerland,12/30/2018,Company Closure,
Switzerland,12/31/2018,Company Closure,
Switzerland,1/2/2019,Company Closure,
Ireland,1/1/2018,New Year's Day,
Ireland,3/19/2018,St Patrick's Day,
Ireland,4/2/2018,Easter Monday,
Ireland,5/7/2018,May Bank Holiday,
Ireland,6/4/2018,June Bank Holiday,
Ireland,8/6/2018,August Bank Holiday,
Ireland,10/29/2018,October Bank Holiday,
Ireland,12/25/2018,Christmas Day,
Ireland,12/26/2018,St Stephen's Day,
United Kingdom,1/1/2018,New Year's Day,
United Kingdom,3/30/2018,Good Friday,
United Kingdom,4/2/2018,Easter Monday,
United Kingdom,5/7/2018,Early May Bank Holiday,
United Kingdom,5/28/2018,Spring Bank Holiday,
United Kingdom,8/27/2018,Summer Bank Holiday,
United Kingdom,12/25/2018,Christmas Day,
United Kingdom,12/16/2018,Boxing Day,
Slovenia,1/1/2018,New Year's Day,
Slovenia,1/2/2018,New Year Holiday,
Slovenia,2/8/2018,Prešeren Day,
Slovenia,4/1/2018,Easter Day,
Slovenia,4/2/2018,Easter Monday,
Slovenia,4/27/2018,Resistance Day,
Slovenia,5/1/2018,Labour Day,
Slovenia,5/2/2018,Labour Day Holiday,
Slovenia,6/25/2018,National Day,
Slovenia,8/15/2018,Assumption Day,
Slovenia,10/31/2018,Reformation Day,
Slovenia,11/1/2018,All Saints' Day,
Slovenia,12/25/2018,Christmas Day,
Slovenia,12/26/2018,Independence and Unity Day,
Croatia,1/1/2018,New Year's Day,
Croatia,1/6/2018,Epiphany,
Croatia,4/2/2018,Easter Monday,
Croatia,5/1/2018,Labour Day,
Croatia,5/31/2018,Corpus Christi,
Croatia,6/22/2018,Anti-Fascist Resistance Day,
Croatia,6/25/2018,Statehood Day,
Croatia,8/5/2018,Victory Day,
Croatia,8/15/2018,Assumption Day,
Croatia,10/8/2018,Independence Day,
Croatia,11/1/2018,All Saints' Day,
Croatia,12/25/2018,Christmas Day,
Croatia,12/26/2018,St Stephen's Day,
Australia,1/1/2018,New Year's Day,
Australia,1/26/2018,Australia Day,
Australia,3/5/2018,Labour Day,
Australia,3/12/2018,Canberra Day,
Australia,3/12/2018,Adelaide Cup,
Australia,3/12/2018,Eight Hours Day,
Australia,3/12/2018,Labour Day,
Australia,3/30/2018,Good Friday,
Australia,4/2/2018,Easter Monday,
Australia,4/25/2018,Anzac Day,
Australia,5/7/2018,May Day,
Australia,5/7/2018,Labour Day,
Australia,5/28/2018,Reconciliation Day,
Australia,6/4/2018,Western Australia Day,
Australia,6/11/2018,Queen's Birthday,
Australia,8/6/2018,Picnic Day,
Australia,9/24/2018,Queen's Birthday,
Australia,10/1/2018,Labour Day,
Australia,tbc,Friday before AFL Grand Final,
Australia,10/1/2018,Queen's Birthday,
Australia,10/8/2018,Family & Community Day,
Australia,11/5/2018,Recreation Day,
Australia,11/6/2018,Melbourne Cup Day,
Australia,12/25/2018,Christmas Day,
Australia,12/26/2018,Boxing Day,
Australia,12/26/2018,Proclamation Day,
Japan,1/1/2018,New Year's Day,
Japan,1/2/2018,New Years Day,
Japan,1/3/2018,New Years Day,
Japan,1/4/2018,New Years Day,
Japan,1/8/2018,Coming of Age Day,
Japan,2/11/2018,National Foundation Day,
Japan,2/12/2018,Substitution for?National Foundation Day,
Japan,3/21/2018,Spring Equinox Day,
Japan,4/29/2018,Showa Day,
Japan,4/30/2018,Showa Day observed,
Japan,5/1/2018,AABP Company Holiday,
Japan,5/2/2018,AABP Special Company Holiday,
Japan,5/3/2018,Constitution Memorial Day,
Japan,5/4/2018,Greenery Day,
Japan,5/5/2018,Children's Day,
Japan,7/16/2018,Marine's Day,
Japan,8/11/2018,Mountain's Day,
Japan,8/13/2018,AABP Special Company Holiday,
Japan,8/14/2018,AABP Special Company Holiday,
Japan,8/15/2018,AABP Special Company Holiday,
Japan,9/17/2018,Respect for the Aged Day,
Japan,9/23/2018,Autumn Equinox Day,
Japan,9/24/2018,Substitution for Autumn Equinox Day,
Japan,10/8/2018,Health Sports Day,
Japan,11/3/2018,Culture Day,
Japan,11/23/2018,Labor Thanksgiving Day,
Japan,12/23/2018,Emperor's Birthday,
Japan,12/24/2018,Substitution for Emperor's Birthday,
Japan,12/31/2018,Year end office closure,
United Arab Emirates,1/1/2018,New years day,
United Arab Emirates,4/13/2018,Israa and Miraj Night,
United Arab Emirates,6/15/2018,Eid Al Fitr,
United Arab Emirates,6/16/2018,Eid Al Fitr,
United Arab Emirates,8/22/2018,Eid Al Adha,
United Arab Emirates,8/23/2018,Eid Al Adha,
United Arab Emirates,8/24/2018,Eid Al Adha,
United Arab Emirates,9/11/2018,Hijiri New Years Day,
United Arab Emirates,11/20/2018,Prophet Muhammad's birthday,
United Arab Emirates,11/30/2018,Martyr's Day,
United Arab Emirates,12/2/2018,UAE National Day,
Algeria,1/1/2018,New years day,
Algeria,5/1/2018,Labour Day,
Algeria,7/5/2018,Independence Day,
Algeria,6/15/2018,Aid El Fitr,
Algeria,8/22/2018,Aid El Adha,
Algeria,8/23/2018,Aid El Adha,
Algeria,11/1/2018,Anniversary of the revolution,
Algeria,9/12/2018,Islamic New Year,
Algeria,11/20/2018,Prophet Muhammad's birthday,
Morocco,1/1/2018,New years day,
Morocco,1/11/2018,Manifeste de l'independence,
Morocco,11/20/2018,Prophet Muhammad's birthday,
Morocco,5/1/2018,Labour Day,
Morocco,6/15/2018,Aid El Fitr,
Morocco,8/22/2018,Aid El Adha,
Morocco,8/23/2018,Aid El Adha,
Morocco,7/30/2018,Fete du trone,
Morocco,8/14/2018,Oued Eddhabab,
Morocco,8/20/2018,Revolution du Roi et du Peuple,
Morocco,8/21/2018,Fete de la Jeunesse,
Morocco,9/12/2018,Islamic New Year,
Morocco,11/6/2018,La marche verte,
Morocco,11/18/2018,Independence Day,
Lebanon,1/1/2018,New years day,
Lebanon,3/30/2018,Good Friday,
Lebanon,4/2/2018,Easter Monday,
Lebanon,5/1/2018,Labour Day,
Lebanon,6/15/2018,Aid El Fitr,
Lebanon,6/16/2018,Aid El Fitr,
Lebanon,8/22/2018,Aid El Adha,
Lebanon,8/23/2018,Aid El Adha,
Lebanon,8/15/2018,Assumption,
Lebanon,11/22/2018,Independence Day,
Lebanon,11/20/2018,Prophet Muhammad's birthday,
Lebanon,12/24/2018,Christmas Eve,
Lebanon,12/25/2018,Christmas Day,
Lebanon,12/31/2018,New Years Eve,
Jordan,1/1/2018,New years day,
Jordan,5/1/2018,Labour Day,
Jordan,5/25/2018,Independence Day,
Jordan,12/25/2018,Christmas Day,
Jordan,6/15/2018,Eid Al Fitr,
Jordan,6/16/2018,Eid Al Fitr,
Jordan,8/22/2018,Eid Al Adha,
Jordan,8/23/2018,Eid Al Adha,
Jordan,8/24/2018,Eid Al Adha,
Jordan,9/11/2018,Islamic New Year,
Jordan,11/20/2018,Prophet Muhammad's birthday,
Poland,1/1/2018,New Year,
Poland,1/6/2018,Epiphany,
Poland,4/1/2018,Easter,
Poland,4/2/2018,Easter Monday,
Poland,5/1/2018,Labour Day,
Poland,5/3/2018,Constitution Day,
Poland,5/20/2018,Pentecost,
Poland,5/31/2018,Corpus Christi,
Poland,8/15/2018,Assumption of Mary,
Poland,11/1/2018,All Saints' Day,
Poland,11/11/2018,National Independence Day,
Poland,12/25/2018,Christmas,
Poland,12/26/2018,Christmas ,
Singapore,1/1/2018,New Year’s Day,
Singapore,2/16/2018,Chinese New Year,
Singapore,2/17/2018,Chinese New Year,
Singapore,3/30/2018,Good Friday,
Singapore,5/1/2018,Labour Day,
Singapore,5/29/2018,Vesak Day,
Singapore,6/15/2018,Hari Raya Puasa,
Singapore,8/9/2018,National Day,
Singapore,8/22/2018,Hari Raya Haji,
Singapore,11/6/2018,Deepavali,
Singapore,12/25/2018,Christmas Day,
Hungary,1/1/2018,New Years' Eve,
Hungary,3/15/2018,National Day,
Hungary,moveable,Good Friday,
Hungary,moveable,Eastern Monday,
Hungary,5/1/2018,Labor Day,
Hungary,moveable,Pentecost Monday,
Hungary,8/20/2018,State Foundation Day,
Hungary,10/23/2018,National Day,
Hungary,11/1/2018,All Saints Day,
Hungary,12/25/2018,Christmas,
Hungary,12/26/2018,Christmas,
Austria,1/1/2018,New Year´s Day,
Austria,1/6/2018,Epiphany,
Austria,3/30/2018,Good Friday,
Austria,4/2/2018,Easter Monday,
Austria,5/1/2018,May (Labour) Day,
Austria,5/10/2018,Ascension Day,
Austria,5/21/2018,Whit Monday,
Austria,5/31/2018,Corpus Christi,
Austria,8/15/2018,Assumption Day,
Austria,10/26/2018,National Day,
Austria,11/1/2018,All Saints Day,
Austria,12/8/2018,Immaculate Conception Day,
Austria,12/25/2018,Christmas Day,
Austria,12/26/2018,St. Stephens Day,
Belgium,1/1/2018,New Year's day,
Belgium,4/2/2018,Easter Monday,
Belgium,5/1/2018,Labour day,
Belgium,5/10/2018,Ascension day,
Belgium,5/21/2018,Whit Monday,
Belgium,7/21/2018,Belgian National Holiday,
Belgium,8/15/2018,Assumption day,
Belgium,11/1/2018,All Saint's day,
Belgium,11/11/2018,Armistice day,
Belgium,12/25/2018,Christmas,
Czechia,1/1/2018,New Year,
Czechia,3/30/2018,Easter/Big Friday,
Czechia,5/1/2018,NA,
Czechia,5/8/2018,NA,
Czechia,7/5/2018,NA,
Czechia,7/6/2018,NA,
Czechia,9/28/2018,NA,
Czechia,10/28/2018,NA,
Czechia,11/11/2018,NA,
Czechia,12/24/2018,Christmas,
Czechia,12/25/2018,Christmas,
Czechia,12/26/2018,Christmas,
Czechia,4/1/2018,Easter/Big Friday,
Finland,1/1/2018,New year's Day,
Finland,1/6/2018,Epiphany,
Finland,3/30/2018,Good Friday,
Finland,4/1/2018,Easter Day,
Finland,4/2/2018,Easter Monday,
Finland,5/1/2018,May Day,
Finland,5/6/2018,Mother's day,
Finland,5/10/2018,Ascension,
Finland,5/20/2018,Whit Sunday,
Finland,6/22/2018,Midsummer Eve,
Finland,6/23/2018,Midsummer Day,
Finland,11/3/2018,All Saints' Day,
Finland,11/11/2018,Father's Day,
Finland,12/6/2018,Independency Day,
Finland,12/24/2018,Christmas Eve,
Finland,12/25/2018,Christmas Day,
Finland,12/26/2018,St. Stephen's Day,
Finland,12/31/2018,New year's Eve,
Norway,1/1/2018,New Year's Day,
Norway,3/29/2018,Maundy Thursday,
Norway,3/30/2018,Good Friday,
Norway,4/1/2018,Easter Day,
Norway,4/2/2018,Easter Monday,
Norway,5/1/2018,Labor Day,
Norway,5/10/2018,Ascension Day,
Norway,5/17/2018,17 May Constitution Day,
Norway,5/20/2018,Whit Sunday,
Norway,5/21/2018,Whit Monday,
Norway,12/25/2018,Christmas Day,
Norway,12/26/2018,Boxing Day,
Sweden,1/1/2018,New Year's Day,
Sweden,1/6/2018,13 days after Christmas,
Sweden,3/30/2018,Good Friday,
Sweden,4/1/2018,Easter Day,
Sweden,4/2/2018,Easter Monday,
Sweden,5/1/2018,Labor Day,
Sweden,5/10/2018,Ascension Day,
Sweden,5/20/2018,Whit Sunday,
Sweden,6/6/2018,Swedish nationalday,
Sweden,6/23/2018,Midsummer,
Sweden,11/3/2018,All Saints' Day,
Sweden,12/24/2018,Christmas Eve,
Sweden,12/25/2018,Christmas Day,
Sweden,12/26/2018,Boxing Day,
Estonia,1/1/2018,New Year's Day,
Estonia,2/24/2018,Independence Day,
Estonia,3/30/2018,Good Friday,
Estonia,4/1/2018, Easter Sunday,
Estonia,5/1/2018,Spring Day ,
Estonia,5/20/2018,Whit Sunday ,
Estonia,6/23/2018,Victory Day,
Estonia,6/24/2018,St John's Day,
Estonia,8/20/2018,Independence Restoration Day,
Estonia,12/24/2018,Christmas Eve ,
Estonia,12/25/2018,Christmas Day,
Estonia,12/26/2018,2nd Day of Christmas ,
Lithuania,1/1/2018,New Year's Day,
Lithuania,2/16/2018,Restoration of the State Day,
Lithuania,3/11/2018,Restoration of Independence Day,
Lithuania,4/1/2018,Easter Sunday,
Lithuania,4/2/2018,Easter Monday,
Lithuania,5/1/2018,Labour Day,
Lithuania,5/6/2018,Mother's Day,
Lithuania,6/3/2018,Father's Day,
Lithuania,6/24/2018,St. John's Day,
Lithuania,7/6/2018,Anniversary of the Coronation of King Mindaugas,
Lithuania,8/15/2018,Assumption Day,
Lithuania,11/1/2018,All Saint's Day,
Lithuania,12/24/2018,Christmas Eve,
Lithuania,12/25/2018,Christmas Day,
Lithuania,12/26/2018,Second Day of Christmas,
Latvia,1/1/2018,New Year's Day,
Latvia,3/30/2018,Good Friday,
Latvia,4/2/2018,Easter Monday,
Latvia,4/30/2018,Bridge Holiday as May Day falls on a Tuesday,
Latvia,5/1/2018,Labour Day,
Latvia,5/1/2018,Declaration of Independence day,
Latvia,5/13/2018,Mother's Day,
Latvia,6/23/2018,Midsummer Eve,
Latvia,6/24/2018,Midsummer - St. John's Day,
Latvia,9/9/2018,Father's Day,
Latvia,11/19/2018,Proclamation Day of the Republic of Latvia,
Latvia,12/24/2018,Christmas Eve ,
Latvia,12/25/2018,Christmas Day,
Latvia,12/26/2018,2nd Day of Christmas ,
Latvia,12/31/2018,New Year's Eve,
Denmark,1/1/2018,New Year's Day,
Denmark,3/25/2018,Palm Sunday,
Denmark,3/29/2018,Maundy Thursday ,
Denmark,3/30/2018,Good Friday ,
Denmark,4/1/2018,Easter Sunday ,
Denmark,4/2/2018,Easter Monday,
Denmark,4/27/2018,Great Prayer Day,
Denmark,5/10/2018,Ascension Day,
Denmark,5/20/2018,Whit Sunday,
Denmark,5/21/2018,Whit Monday,
Denmark,6/5/2018,Constitution Day,
Denmark,12/24/2018,Christmas Eve ,
Denmark,12/25/2018,Christmas Day,
Denmark,12/26/2018,Boxing day,
Denmark,12/31/2018,New Year's Eve,
Netherlands,1/1/2018,New Years Day,
Netherlands,4/1/2018,Easter Sunday ,
Netherlands,4/2/2018,Easter Monday ,
Netherlands,4/27/2018,Kingsday,
Netherlands,5/10/2018,Ascension Day,
Netherlands,5/20/2018,Pentecost,
Netherlands,5/21/2018,Whit Monday,
Netherlands,12/25/2018,Christmas Day,
Netherlands,12/26/2018,Boxing Day,
Colombia,1/1/2018,New Year,
Colombia,1/8/2018,Three Kings Day,
Colombia,3/19/2018,St. Joseph's Day,
Colombia,3/29/2018,Maundy Thursday,
Colombia,3/30/2018,Good Friday,
Colombia,5/1/2018,Labor Day,
Colombia,5/14/2018,Assumption Day,
Colombia,6/4/2018,Corpus Christi,
Colombia,6/11/2018,Sacred heart,
Colombia,7/2/2018,Saint Peter and Saint Paul,
Colombia,7/20/2018,Independence Day,
Colombia,8/7/2018,Battle of Boyaca,
Colombia,8/20/2018,Assumption day,
Colombia,10/15/2018,Day of race,
Colombia,11/5/2018,All Saints Day,
Colombia,11/12/2018,Independence of Cartagena,
Colombia,12/8/2018,Immaculate conception day,
Colombia,12/25/2018,Christmas,
Bulgaria,1/1/2018,New Year's Day,
Bulgaria,3/3/2018,Liberation Day,
Bulgaria,3/5/2018,Liberation Day Holiday,
Bulgaria,4/6/2018,Orthodox Good Friday,
Bulgaria,4/7/2018,Orthodox Easter Saturday,
Bulgaria,4/8/2018,Orthodox Easter Sunday,
Bulgaria,4/9/2018,Orthodox Easter Monday,
Bulgaria,5/1/2018,Labour Day,
Bulgaria,5/6/2018,Saint George`s Day/Army Day,
Bulgaria,5/7/2018,Saint George`s Day Holiday,
Bulgaria,5/24/2018,Culture and Literacy Day,
Bulgaria,9/6/2018,Unification Day,
Bulgaria,9/22/2018,Independence Day,
Bulgaria,12/24/2018,Christmas Eve,
Bulgaria,12/25/2018,Christmas Day,
Bulgaria,12/26/2018,2nd Day of Christmas,
South Africa,1/1/2018,New Year's Day,
South Africa,3/21/2018,Human Rights Day,
South Africa,3/30/2018,Good Friday,
South Africa,4/2/2018,Family Day,
South Africa,4/27/2018,Freedom Day,
South Africa,5/1/2018,Worker's Day,
South Africa,6/16/2018,Youth's Day,
South Africa,8/9/2018,National Women's Day,
South Africa,9/24/2018,Heritage Day,
South Africa,12/17/2018,Day of Reconciliation,
South Africa,12/24/2018,Christmas Eve,
South Africa,12/25/2018,Christmas,
South Africa,12/26/2018,Day of Goodwill,
Slovakia,1/1/2018,Day of the Establishment of the Slovak Republic,
Slovakia,1/6/2018,Epiphany,
Slovakia,3/30/2018,Good Friday,
Slovakia,4/2/2018,Easter Monday,
Slovakia,5/1/2018,Labour Day,
Slovakia,5/8/2018,Day of victory over fascism,
Slovakia,7/5/2018,St Cyril and Methodius Day,
Slovakia,8/29/2018,Slovak National Uprising anniversary,
Slovakia,9/1/2018,Slovak Constitution Day,
Slovakia,9/15/2018,Day of Our Lady of Sorrows,
Slovakia,11/1/2018,All Saints Day,
Slovakia,11/17/2018,Struggle for Freedom and Democracy Day,
Slovakia,12/24/2018,Christmas Eve,
Slovakia,12/25/2018,Christmas Day,
Slovakia,12/26/2018,St Stephens Day,
Mexico,1/1/2018,New Year's Day,
Mexico,2/5/2018,Mexican Constitution Day,
Mexico,3/19/2018,Benito Juarez Day,
Mexico,3/29/2018,Holy Thursday,
Mexico,3/30/2018,Good Friday,
Mexico,5/1/2018,Labor Day,
Mexico,5/10/2018,Mother's Day,
Mexico,11/1/2018,All Saints Day/ Day of the Dead,
Mexico,11/2/2018,All Saints Day/ Day of the Dead,
Mexico,11/19/2018,Mexican Revolution Anniversary,
Mexico,12/12/2018,Guadalupe Day,
Mexico,12/24/2018,Christmas Shutdown,
Mexico,12/25/2018,Christmas Shutdown,
Mexico,12/26/2018,Christmas Shutdown,
Mexico,12/27/2018,Christmas Shutdown,
Mexico,12/28/2018,Christmas Shutdown,
Mexico,12/29/2018,Christmas Shutdown,
Mexico,12/30/2018,Christmas Shutdown,
Mexico,12/31/2018,Christmas Shutdown,
Spain,1/1/2018,New Year,
Spain,3/30/2018,Holy Friday,
Spain,5/1/2018,Labor Day,
Spain,8/15/2018,Asunción Virgin ,
Spain,10/12/2018,National Holiday of Spain,
Spain,11/1/2018,All Saints'Day ,
Spain,12/6/2018,Constitution Day ,
Spain,12/25/2018,Christmas ,
Germany,1/1/2018,New Year's Day,
Germany,1/6/2018,Epiphany,
Germany,3/30/2018,Good Friday,
Germany,4/2/2018,Easter Monday,
Germany,5/1/2018,Labour Day,
Germany,5/10/2018,Ascension Day,
Germany,5/21/2018,Whit Monday,
Germany,5/31/2018,Corpus Christi,
Germany,8/15/2018,Assumption Day,
Germany,10/3/2018,Day of German Unity,
Germany,11/1/2018,All Saints' Day,
Germany,12/25/2018,Christmas Day,
Germany,12/26/2018,Boxing Day,
Greece,1/1/2018,New Year's Day,
Greece,1/6/2018,Epiphany,
Greece,2/19/2018,Ash Monday,
Greece,3/25/2018,Independence Day,
Greece,4/6/2018,Orthodox Good Friday,
Greece,4/9/2018,Orthodox Easter Monday,
Greece,5/1/2018,Labor Day,
Greece,5/28/2018,Holy Spirit Monday,
Greece,8/15/2018,Assumption Day,
Greece,10/28/2018,The Ochi Day,
Greece,12/25/2018,The Christamas Day,
Greece,12/26/2018,Synaxis of the Mother of God,
Thailand,1/1/2018,New Year's Day,
Thailand,1/2/2018,Substitution Day of 31-12-2017,
Thailand,2/16/2018,Chinese New Year,
Thailand,3/1/2018,Makha Bucha Day,
Thailand,4/6/2018,Charki Day,
Thailand,4/13/2018,Songkran Festival Day,
Thailand,4/16/2018,Substitution Day of 14-04-2018,
Thailand,5/1/2018,National Labour Day,
Thailand,5/29/2018,Viskha Bucha Day,
Thailand,7/27/2018,Asahna Bucha Day,
Thailand,7/30/2018,Substitution Day for H.M. the King's Birthday,
Thailand,8/13/2018,Substitution Day for King's Mother Birthday,
Thailand,10/15/2018,Substitution Day for King Bhumibol Memorial Day,
Thailand,10/23/2018,Chulalongkorn Day,
Thailand,12/5/2018,National Father's Day,
Thailand,12/31/2018,New Year's Eve,
China,1/1/2018,New Year’s Day,
China,2/15/2018,Chinese New Year,
China,2/16/2018,Chinese New Year,
China,2/19/2018,Chinese New Year,
China,2/20/2018,Chinese New Year,
China,2/21/2018,Chinese New Year,
China,4/5/2018,Tomb-Sweeping Day ,
China,4/6/2018,Tomb-Sweeping Day ,
China,5/1/2018,Labor Day,
China,6/18/2018,Dragon Boat Festival ,
China,9/24/2018,Mid-Autumn Festival ,
China,10/1/2018,National Day ,
China,10/2/2018,National Day ,
China,10/3/2018,National Day ,
China,10/4/2018,National Day ,
China,10/5/2018,National Day ,
China,10/6/2018,National Day ,
China,10/7/2018,National Day ,
France,1/1/2018,New Year ,
France,4/1/2018,Easter,
